"Site","CoreNo","Treatment"
"CPCRW","21","drought"
"CPCRW","22","drought"
"CPCRW","23","drought"
"CPCRW","24","drought"
"CPCRW","25","drought"
"CPCRW","16","field moist"
"CPCRW","17","field moist"
"CPCRW","18","field moist"
"CPCRW","19","field moist"
"CPCRW","20","field moist"
"CPCRW","11","flood"
"CPCRW","12","flood"
"CPCRW","13","flood"
"CPCRW","14","flood"
"CPCRW","15","flood"
"CPCRW","6","time zero"
"CPCRW","7","time zero"
"CPCRW","8","time zero"
"CPCRW","9","time zero"
"CPCRW","10","time zero"
"DWP","21","drought"
"DWP","22","drought"
"DWP","23","drought"
"DWP","24","drought"
"DWP","25","drought"
"DWP","17","field moist"
"DWP","18","field moist"
"DWP","19","field moist"
"DWP","20","field moist"
"DWP","11","flood"
"DWP","12","flood"
"DWP","13","flood"
"DWP","14","flood"
"DWP","15","flood"
"DWP","6","time zero"
"DWP","7","time zero"
"DWP","8","time zero"
"DWP","9","time zero"
"DWP","10","time zero"
"SR","4","drought"
"SR","5","drought"
"SR","10","drought"
"SR","14","drought"
"SR","25","drought"
"SR","1","field moist"
"SR","13","field moist"
"SR","15","field moist"
"SR","19","field moist"
"SR","21","field moist"
"SR","2","flood"
"SR","3","flood"
"SR","7","flood"
"SR","18","flood"
"SR","9","time zero"
"SR","16","time zero"
"SR","17","time zero"
"SR","23","time zero"
"SR","24","flood"
"SR","11","time zero"
